Date,Open,High,Low,Close,Adj Close,Volume
2013-12-10,26.803286,27.205776,26.790831,27.015240,26.984533,74433955
2013-12-11,27.083485,27.181118,26.778875,26.831678,26.801180,68728650
2013-12-12,26.888466,26.972401,26.625202,26.649113,26.618822,64099363
2013-12-13,26.784605,26.806772,26.348490,26.420719,26.390688,86820208
2013-12-16,26.500669,26.766920,26.451105,26.724331,26.693954,64320188
2013-12-17,26.720346,26.918104,26.609760,26.646622,26.616333,61658247
2013-12-18,26.696186,27.022463,26.377132,27.017483,26.986773,88743390
2013-12-19,26.918352,27.197805,26.876261,27.054094,27.023342,66877738
2013-12-20,27.105900,27.426449,27.098429,27.412750,27.381592,130953011
2013-12-23,27.592575,27.790833,27.524830,27.773397,27.741829,69122119
2013-12-24,27.770161,27.776884,27.599052,27.692204,27.660727,29478078
2013-12-26,27.746250,27.870535,27.613747,27.832178,27.800543,53712576
2013-12-27,27.895441,27.902414,27.719601,27.855591,27.823929,63023345
2013-12-30,27.903910,27.907894,27.621965,27.632925,27.601517,49629328
2013-12-31,27.702166,27.920347,27.553225,27.913124,27.881397,54519590
2014-01-02,27.782366,27.839401,27.603037,27.724083,27.692570,73129082
2014-01-03,27.770908,27.818977,27.520098,27.521841,27.490559,66917888
2014-01-06,27.721344,27.867046,27.557707,27.828691,27.797060,71037271
2014-01-07,28.019974,28.385853,27.924334,28.365179,28.332937,102486711
2014-01-08,28.543015,28.575891,28.226450,28.424210,28.391901,90036218
2014-01-09,28.479254,28.498680,28.033922,28.150484,28.118486,83692529
2014-01-10,28.370661,28.370661,27.951481,28.148991,28.116995,86061375
2014-01-13,28.056587,28.565680,27.824955,27.969664,27.937872,97118665
2014-01-14,28.342516,28.667547,28.096935,28.627695,28.595156,99676216
2014-01-15,28.717112,28.767174,28.487970,28.608269,28.575750,78300393
2014-01-16,28.620224,28.840151,28.592827,28.797560,28.764826,67608467
2014-01-17,28.813251,28.907398,28.498182,28.655842,28.623270,108457005
2014-01-21,28.914869,28.991333,28.675018,28.983862,28.950916,79492846
2014-01-22,29.056339,29.088221,28.863314,29.016739,28.983757,63091600
2014-01-23,28.891706,28.953724,28.751482,28.894197,28.861355,78256228
2014-01-24,28.667795,28.731058,27.970161,27.990833,27.959017,156283602
2014-01-27,28.047373,28.057335,26.955713,27.427942,27.396767,174796734
2014-01-28,27.654345,28.038654,27.644880,27.970409,27.938616,88739375
2014-01-29,27.873524,27.939028,27.382862,27.569662,27.538324,95552818
2014-01-30,28.518106,28.704659,28.076014,28.278753,28.246611,204419353
2014-01-31,29.174397,29.552729,28.670786,29.414000,29.380566,223486554
2014-02-03,29.369913,29.432678,28.194571,28.229937,28.197849,183449044
2014-02-04,28.343512,28.767174,28.319103,28.347746,28.315525,112897588
2014-02-05,28.477758,28.661818,28.095192,28.473274,28.440910,96139007
2014-02-06,28.670786,28.895693,28.581619,28.890711,28.857872,78155853
2014-02-07,29.081743,29.337536,28.905655,29.326078,29.292744,105843245
2014-02-10,29.185604,29.449615,29.116365,29.213751,29.180544,78099643
2014-02-11,29.394073,29.685482,29.195818,29.643389,29.609694,82339476
2014-02-12,29.613998,29.638906,29.424212,29.556465,29.522869,69238554
2014-02-13,29.408520,29.885483,29.381371,29.885483,29.851513,73731331
2014-02-14,29.778631,29.997313,29.708645,29.957710,29.923658,87795852
2014-02-18,29.923092,30.208521,29.887974,30.158957,30.124676,84672187
2014-02-19,30.019978,30.117613,29.825706,29.946255,29.912216,84459392
2014-02-20,29.966179,30.059580,29.893452,29.990339,29.956251,68287001
2014-02-21,30.082493,30.133801,29.958708,29.982368,29.948288,74771214
2014-02-24,30.021473,30.390091,30.014996,30.199554,30.165228,67223027
2014-02-25,30.284985,30.498184,30.147499,30.386105,30.351566,57763704
2014-02-26,30.485731,30.607277,30.230688,30.390341,30.355797,79585191
2014-02-27,30.346006,30.491461,30.311634,30.366428,30.331913,50588912
2014-02-28,30.394573,30.490463,30.042892,30.277761,30.243345,92890878
2014-03-03,30.056091,30.083241,29.692205,29.954971,29.920923,84507572
2014-03-04,30.261572,30.286480,30.124586,30.259331,30.224936,58928052
2014-03-05,30.262817,30.462818,30.172157,30.342768,30.308279,49597208
2014-03-06,30.442892,30.539282,30.351236,30.376392,30.341866,50914126
2014-03-07,30.555471,30.560204,30.172905,30.256342,30.221951,60831159
2014-03-10,30.278757,30.327326,29.989841,30.176142,30.141842,48766105
2014-03-11,30.230936,30.244637,29.804285,29.887724,29.853752,68776830
2014-03-12,29.798309,30.083490,29.494200,30.069792,30.035612,78866507
2014-03-13,30.085979,30.149492,29.508394,29.615494,29.581831,94175675
2014-03-14,29.439404,29.660576,29.203787,29.210512,29.177309,92099924
2014-03-17,29.371161,29.814997,29.342766,29.691210,29.657461,86808163
2014-03-18,29.755220,30.175146,29.715120,30.168421,30.134130,72872123
2014-03-19,30.181871,30.186604,29.748743,29.869293,29.835342,64757822
2014-03-20,29.886726,30.127325,29.772406,29.817238,29.783346,67640587
2014-03-21,30.045134,30.127825,29.450861,29.465555,29.432062,128821050
2014-03-24,29.494200,29.511883,28.541767,28.840151,28.807369,121939352
2014-03-25,29.041147,29.136787,28.567921,28.859825,28.827021,96769361
2014-03-26,28.941769,29.179876,28.181868,28.193575,28.161528,103586819
2014-03-27,28.322241,28.322241,27.570307,27.846546,27.814894,262719
2014-03-28,27.983171,28.243956,27.857019,27.922838,27.891100,824257
2014-03-31,28.266893,28.272379,27.770258,27.772251,27.740683,216593
2014-04-01,27.859013,28.344681,27.859013,28.280355,28.248211,158434
2014-04-02,29.917362,30.158699,28.032537,28.272379,28.240242,2942055
2014-04-03,28.414488,29.283602,28.129271,28.409002,28.376711,101983228
2014-04-04,28.653831,28.809404,27.075665,27.082645,27.051861,127386783
2014-04-07,26.962973,27.348913,26.285334,26.833828,26.803328,88033033
2014-04-08,27.055719,27.674021,27.006353,27.669035,27.637585,63024560
2014-04-09,27.904388,28.191101,27.571802,28.129770,28.097795,66616395
2014-04-10,28.172651,28.172651,26.921087,26.973444,26.942785,80737057
2014-04-11,26.554594,26.926073,26.254417,26.457361,26.427288,78496923
2014-04-14,26.838814,27.130512,26.405504,26.553099,26.522917,51501009
2014-04-15,26.767509,26.848787,25.852022,26.748562,26.718159,77101101
